total_messages,unique_payloads,duplicate_ratio,message_frequency,topic_frequency,payload_length,time_interval,label
30,5,0.8333,12.428,9.4401,22,0.1316,1
15,1,0.9333,6.0885,6.2868,11,0.1199,1
16,1,0.9375,14.152,14.8965,10,0.071,1
30,4,0.8667,10.2808,13.1778,25,0.0722,1
38,26,0.3158,3.7534,3.9985,29,0.5698,0
25,24,0.04,3.5469,4.3585,23,1.8077,0
29,17,0.4138,3.2209,3.3326,12,1.969,0
15,1,0.9333,13.962,13.0652,13,0.1631,1
20,18,0.1,2.6808,1.803,24,1.2912,0
111,95,0.1441,32.7047,45.0991,27,0.0284,2
20,1,0.95,9.5725,9.9356,13,0.1849,1
36,21,0.4167,3.6595,4.1278,12,1.3314,0
193,184,0.0466,87.1904,98.7295,15,0.0194,2
134,112,0.1642,87.8171,92.7088,27,0.0223,2
28,17,0.3929,1.1866,3.5226,11,0.5558,0
106,105,0.0094,44.9974,70.1816,16,0.0056,2
30,25,0.1667,3.9861,3.7689,25,1.9469,0
22,1,0.9545,14.8631,5.2626,24,0.0747,1
29,26,0.1034,0.6548,4.8106,18,0.9765,0
22,2,0.9091,7.6787,10.5961,21,0.1416,1
39,32,0.1795,1.5857,4.1319,26,1.6179,0
28,4,0.8571,7.0473,8.0705,26,0.1577,1
88,74,0.1591,90.877,38.2646,17,0.0206,2
17,1,0.9412,6.7339,8.6828,26,0.1666,1
24,15,0.375,4.9489,0.9983,19,0.2709,0
134,127,0.0522,30.8553,49.8728,12,0.0265,2
21,4,0.8095,11.2382,12.3157,20,0.1973,1
22,19,0.1364,3.1825,1.4475,19,0.6223,0
30,2,0.9333,6.1484,7.6747,27,0.1466,1
32,30,0.0625,4.9311,0.5041,28,1.5042,0
15,4,0.7333,13.212,7.7091,19,0.0613,1
35,23,0.3429,4.2929,1.026,18,1.9981,0
20,18,0.1,1.7856,3.7577,18,0.796,0
21,12,0.4286,2.0582,4.1018,14,0.5267,0
20,4,0.8,12.5563,11.5577,22,0.1249,1
187,164,0.123,59.5299,85.8262,20,0.0109,2
106,102,0.0377,81.4662,89.6464,21,0.0233,2
